Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:43:44 Mar 06 2025,93,76,1,0,0
22:43:48 Mar 06 2025,93,77,1,0,0
22:43:52 Mar 06 2025,93,77,0,0,0
22:43:56 Mar 06 2025,92,77,1,0,0
22:44:00 Mar 06 2025,92,77,2,0,0
22:44:04 Mar 06 2025,93,76,1,0,0
22:44:08 Mar 06 2025,93,79,1,0,0
22:44:12 Mar 06 2025,93,80,0,0,0
22:44:16 Mar 06 2025,95,80,1,0,0
22:44:20 Mar 06 2025,96,84,0,0,0
22:44:24 Mar 06 2025,96,88,1,0,0
22:44:28 Mar 06 2025,96,87,1,0,0
22:44:32 Mar 06 2025,95,84,1,0,0
22:44:36 Mar 06 2025,95,82,1,0,0
22:44:40 Mar 06 2025,94,77,1,0,0
22:44:44 Mar 06 2025,93,74,0,0,0
22:44:48 Mar 06 2025,93,72,1,0,0
22:44:52 Mar 06 2025,93,72,1,0,0
22:44:56 Mar 06 2025,93,74,1,0,0
22:45:00 Mar 06 2025,93,74,0,0,0
22:45:04 Mar 06 2025,93,74,0,0,0
22:45:08 Mar 06 2025,93,74,1,0,0
22:45:12 Mar 06 2025,92,74,1,0,0
22:45:16 Mar 06 2025,92,74,1,0,0
22:45:20 Mar 06 2025,91,75,1,0,0
22:45:24 Mar 06 2025,92,75,1,0,0
22:45:28 Mar 06 2025,92,74,0,0,0
22:45:32 Mar 06 2025,91,75,1,0,0
22:45:36 Mar 06 2025,91,75,0,0,0
22:45:40 Mar 06 2025,92,75,0,0,0
22:45:44 Mar 06 2025,93,71,1,0,0
22:45:48 Mar 06 2025,94,70,0,0,0
22:45:52 Mar 06 2025,94,75,1,0,0
22:45:56 Mar 06 2025,94,73,1,0,0
22:46:00 Mar 06 2025,94,70,1,0,0
22:46:04 Mar 06 2025,95,74,1,0,0
22:46:08 Mar 06 2025,94,76,1,0,0
22:46:12 Mar 06 2025,93,76,0,0,0
22:46:16 Mar 06 2025,94,77,1,0,0
22:46:20 Mar 06 2025,94,78,6,0,0
22:46:24 Mar 06 2025,94,78,10,0,0
22:46:28 Mar 06 2025,95,78,0,0,0
22:46:32 Mar 06 2025,96,78,0,0,0
22:46:36 Mar 06 2025,96,77,0,0,0
22:46:40 Mar 06 2025,94,76,1,0,0
22:46:44 Mar 06 2025,94,74,0,0,0
22:46:48 Mar 06 2025,93,75,0,0,0
22:46:52 Mar 06 2025,93,74,1,0,0
22:46:56 Mar 06 2025,94,72,0,0,0
22:47:00 Mar 06 2025,93,74,0,0,0
22:47:04 Mar 06 2025,93,76,0,0,0
22:47:08 Mar 06 2025,93,76,0,0,0
22:47:12 Mar 06 2025,93,73,0,0,0
22:47:16 Mar 06 2025,93,72,1,0,0
22:47:20 Mar 06 2025,94,73,0,0,0
22:47:24 Mar 06 2025,96,72,0,0,0
22:47:28 Mar 06 2025,96,73,0,0,0
22:47:32 Mar 06 2025,95,75,0,0,0
22:47:36 Mar 06 2025,94,75,0,0,0
22:47:40 Mar 06 2025,94,76,0,0,0
22:47:44 Mar 06 2025,94,79,0,0,0
22:47:48 Mar 06 2025,94,79,0,0,0
22:47:52 Mar 06 2025,93,78,0,0,0
22:47:56 Mar 06 2025,93,78,0,0,0
22:48:00 Mar 06 2025,93,77,0,0,0
22:48:04 Mar 06 2025,94,76,0,0,0
22:48:08 Mar 06 2025,94,74,0,0,0
22:48:12 Mar 06 2025,93,73,0,0,0
22:48:16 Mar 06 2025,93,74,0,0,0
22:48:20 Mar 06 2025,93,74,0,0,0
22:48:24 Mar 06 2025,92,76,0,0,0
22:48:28 Mar 06 2025,92,77,0,0,0
22:48:32 Mar 06 2025,92,77,0,0,0
22:48:36 Mar 06 2025,93,76,0,0,0
22:48:40 Mar 06 2025,93,76,0,0,0
22:48:44 Mar 06 2025,93,77,0,0,0
22:48:48 Mar 06 2025,93,78,0,0,0
22:48:52 Mar 06 2025,93,80,0,0,0
22:48:56 Mar 06 2025,94,80,0,0,0
22:49:00 Mar 06 2025,95,78,0,0,0
22:49:04 Mar 06 2025,96,77,0,0,0
22:49:08 Mar 06 2025,96,78,0,0,0
22:49:12 Mar 06 2025,95,78,4,0,0
22:49:16 Mar 06 2025,95,78,6,0,0
22:49:20 Mar 06 2025,95,78,3,0,0
22:49:24 Mar 06 2025,95,78,3,0,0
22:49:28 Mar 06 2025,95,78,5,0,0
22:49:32 Mar 06 2025,95,78,0,0,0
22:49:36 Mar 06 2025,95,78,0,0,0
22:49:40 Mar 06 2025,95,76,0,0,0
22:49:44 Mar 06 2025,96,74,0,0,0
22:49:48 Mar 06 2025,96,75,0,0,0
22:49:52 Mar 06 2025,95,76,0,0,0
22:49:56 Mar 06 2025,95,76,0,0,0
22:50:00 Mar 06 2025,94,76,1,0,0
22:50:04 Mar 06 2025,94,76,9,0,0
22:50:08 Mar 06 2025,94,76,0,0,0
22:50:12 Mar 06 2025,95,75,4,0,0
22:50:16 Mar 06 2025,95,75,8,0,0
22:50:20 Mar 06 2025,95,77,0,0,0
22:50:24 Mar 06 2025,95,79,0,0,0
22:50:28 Mar 06 2025,94,79,1,0,0
22:50:32 Mar 06 2025,94,77,0,0,0
22:50:36 Mar 06 2025,94,76,0,0,0
22:50:40 Mar 06 2025,94,76,0,0,0
22:50:44 Mar 06 2025,93,74,0,0,0
